column,dtype,n_unique,sample_values
Beneficiary_ID,object,233273,"GGGGGGG99DzGeze, GGGGGGG9DDWNGGz"
Assessment_Effective_Date,object,365,"2017-03-17, 2017-02-28"
Submitted_HIPPS_Code,object,589,"1AGKU, 2CGKU"
Facility_Internal_ID,int64,2160,"334582, 487590"
Age,int64,93,"46, 74"
Gender,object,2,"Female, Male"
American_Indian_or_Alaska_Native,int64,2,"0, 1"
Asian,int64,2,"0, 1"
Black_or_African_American,int64,2,"1, 0"
Hispanic_or_Latino,int64,2,"0, 1"
Native_Hawiian_or_Pacific_Islander,int64,2,"0, 1"
White,int64,2,"0, 1"
ByDiscipline,object,4,"RN, PT"
Days_Cared_For,int64,685,"25, 54"
Agency_Medicare_Number,object,3166,"677994, 679724"
has_diabetes,int64,2,"0, 1"
has_heart_failure,int64,2,"0, 1"
has_hypertension,int64,2,"0, 1"
ever_deceased,int64,2,"1, 0"
ever_readmitted,int64,2,"1, 0"
BMI,float64,7797,"29.898298816568047, 33.19722222222222"
BMI_Category,object,6,"Overweight, Obese-Class1"
Primary_Diagnosis_ICD_10_C_M_Code_Cluster,int64,223,"-1, 0"
Primary_Diagnosis_ICD_10_C_M_Code_Cluster_Name,object,223,"Isolated / Unclustered, Circulatory: I10., M62.81"
Other_Diagnosis_Code_1_ICD_10_C_M_Cluster,int64,226,"-141, -1"
Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_Name,object,226,"Symptoms/Signs: R10.11, R10.31, Isolated / Unclustered"
Other_Diagnosis_Code_2_ICD_10_C_M_Cluster,int64,226,"2, -1"
Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_Name,object,226,"Genitourinary: N18.5, Isolated / Unclustered"
Other_Diagnosis_Code_3_ICD_10_C_M_Cluster,int64,226,"-1, 0"
Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_Name,object,226,"Isolated / Unclustered, Circulatory: I10., M62.81"
Other_Diagnosis_Code_4_ICD_10_C_M_Cluster,int64,224,"26, 0"
Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_Name,object,224,"Factors Influencing Health Status: Z45.2, Z79.2, Circulatory: I10., M62.81"
Other_Diagnosis_Code_5_ICD_10_C_M_Cluster,int64,217,"0, 15"
Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_Name,object,217,"Circulatory: I10., M62.81, Endocrine/Metabolic: E78.5, E03.9"
ICD_Clusters_In_Row,object,30062,"[-141, 0, 2, 26], [0, 15]"
ICD_Cluster_Names_In_Row,object,30062,"['Circulatory: I10., M62.81', 'Factors Influencing Health Status: Z45.2, Z79.2', 'Genitourinary: N18.5', 'Symptoms/Signs: R10.11, R10.31'], ['Circulatory: I10., M62.81', 'Endocrine/Metabolic: E78.5, E03.9']"
zip,int64,2173,"77037, 75044"
state_id,object,1,TX
city,object,1333,"Houston, Garland"
state_name,object,1,Texas
COUNTY_NAME,object,252,"Harris, Dallas"
POP_URB,float64,146,"974.0, 21207.0"
POPPCT_URB,float64,146,"2.81, 55.14"
POP_RUR,float64,252,"33694.0, 17255.0"
POPPCT_RUR,float64,146,"97.19, 44.86"
COUNTYFIPS,float64,252,"13145.0, 1047.0"
ACS_PCT_BACHELOR_DGR,float64,252,"18.74285714285714, 10.54529411764706"
ACS_PCT_COLLEGE_ASSOCIATE_DGR,float64,251,"36.044285714285714, 31.22941176470588"
ACS_PCT_GRADUATE_DGR,float64,250,"13.007142857142856, 5.929411764705883"
ACS_PCT_HS_GRADUATE,float64,249,"25.42714285714285, 35.90764705882353"
ACS_PCT_LT_HS,float64,252,"6.781428571428571, 16.389411764705883"
ACS_PCT_NO_WORK_NO_SCHL_16_19,float64,182,"1.9328571428571428, 6.047058823529412"
ACS_PCT_POSTHS_ED,float64,251,"67.79142857142857, 47.70352941176471"
ACS_PCT_VET_BACHELOR,float64,248,"34.93, 12.586470588235294"
ACS_PCT_VET_COLLEGE,float64,251,"43.61857142857143, 47.37058823529412"
ACS_PCT_VET_HS,float64,250,"21.45, 40.04058823529412"
ACS_PCT_HH_LIMIT_ENGLISH,float64,234,"0.1414285714285714, 0.1664705882352941"
ACS_PCT_HH_BROADBAND,float64,251,"67.00428571428571, 41.61882352941176"
ACS_PCT_HH_BROADBAND_ONLY,float64,251,"7.255714285714285, 6.047058823529412"
ACS_PCT_HH_CELLULAR,float64,249,"75.97285714285714, 62.783529411764704"
ACS_PCT_HH_CELLULAR_ONLY,float64,250,"12.107142857142858, 19.321176470588235"
ACS_PCT_HH_DIAL_INTERNET_ONLY,float64,182,"0.2928571428571428, 0.4194117647058824"
ACS_PCT_HH_INTERNET,float64,250,"85.78142857142858, 71.65529411764705"
ACS_PCT_HH_INTERNET_NO_SUBS,float64,243,"1.4785714285714284, 1.708235294117647"
ACS_PCT_HH_NO_COMP_DEV,float64,250,"5.607142857142857, 24.328823529411764"
ACS_PCT_HH_NO_INTERNET,float64,252,"12.73857142857143, 26.63705882352941"
ACS_PCT_HH_OTHER_COMP,float64,241,"2.6757142857142857, 0.7064705882352941"
ACS_PCT_HH_OTHER_COMP_ONLY,float64,64,"0.0, 0.0428636363636363"
ACS_PCT_HH_PC,float64,251,"81.01285714285714, 52.23705882352941"
ACS_PCT_HH_PC_ONLY,float64,248,"4.2457142857142856, 5.984117647058824"
ACS_PCT_HH_SAT_INTERNET,float64,250,"9.7, 10.360588235294117"
ACS_PCT_HH_SMARTPHONE,float64,252,"86.35285714285715, 65.97941176470589"
ACS_PCT_HH_SMARTPHONE_ONLY,float64,250,"9.494285714285716, 17.08058823529412"
ACS_PCT_HH_TABLET,float64,251,"68.82285714285715, 39.01823529411765"
ACS_PCT_HH_TABLET_ONLY,float64,233,"0.4771428571428571, 1.3270588235294116"
ACS_PCT_CHILDREN_GRANDPARENT,float64,248,"9.277142857142858, 20.106470588235293"
ACS_PCT_CHILD_1FAM,float64,251,"17.435714285714287, 63.60176470588235"
ACS_PCT_GRANDP_NO_RESPS,float64,227,"40.38142857142857, 38.75235294117647"
ACS_PCT_GRANDP_RESPS_NO_P,float64,233,"18.25, 14.840588235294115"
ACS_PCT_GRANDP_RESPS_P,float64,228,"41.36857142857143, 46.407647058823535"
ACS_PCT_HH_1PERS,float64,252,"18.47714285714286, 37.26529411764706"
ACS_PCT_HH_ABOVE65,float64,249,"33.230000000000004, 35.58176470588235"
ACS_PCT_HH_ALONE_ABOVE65,float64,251,"8.747142857142856, 16.677647058823528"
ACS_PCT_HH_KID_1PRNT,float64,250,"11.338571428571427, 26.692941176470587"
ACS_TOT_GRANDCHILDREN_GP,float64,241,"91.57142857142856, 114.23529411764706"
ACS_PCT_HEALTH_INC_138_199,float64,248,"9.89, 13.866470588235291"
ACS_PCT_HEALTH_INC_200_399,float64,249,"32.28428571428572, 28.326470588235296"
ACS_PCT_HEALTH_INC_ABOVE400,float64,250,"47.67428571428572, 19.23058823529412"
ACS_PCT_HEALTH_INC_BELOW137,float64,251,"10.15, 38.57588235294117"
ACS_PCT_HH_1FAM_FOOD_STMP,float64,251,"25.71, 53.60117647058824"
ACS_PCT_HH_FOOD_STMP_BLW_POV,float64,250,"2.957142857142857, 16.19529411764706"
ACS_PCT_HH_NO_FD_STMP_BLW_POV,float64,250,"2.585714285714286, 8.889411764705883"
ACS_PCT_HH_PUB_ASSIST,float64,251,"7.87, 29.968823529411765"
ACS_PCT_INC50,float64,250,"3.257142857142857, 10.93"
ACS_PCT_INC50_ABOVE65,float64,242,"1.6585714285714286, 3.4447058823529413"
